id,title,json,genre,release_date,runtime,seasons
tt3579018,Emerald City,"{u'Plot': u""When a tornado transports Dorothy Gale from Lucas, Kan., to the faraway land of Oz, her arrival sets in motion a prophecy about a disastrous event known as The Beast Forever and strikes fear into the land's almighty ruler, the Wizard. On her quest to meet the Wizard in Emerald City, Dorothy encounters witches, an amnesiac soldier, a sheltered little boy and many more mysterious beings who will ultimately shape the future of Oz and Dorothy's place in it."", u'Rated': u'TV-14', u'Title': u'Emerald City', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'7.3/10'}], u'Writer': u'Matthew Arnold, Josh Friedman', u'Actors': u'Adria Arjona, Oliver Jackson-Cohen, Ana Ularu, Gerran Howell', u'Type': u'series', u'imdbVotes': u'8,550', u'totalSeasons': u'1', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5NTA1NzkyNV5BMl5BanBnXkFtZTgwNzk1MDM3MDI@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'06 Jan 2017', u'Awards': u'2 nominations.', u'Genre': u'Adventure, Drama, Fantasy', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'60 min', u'imdbID': u'tt3579018', u'Metascore': u'N/A', u'imdbRating': u'7.3', u'Year': u'2016\u20132017'}","adventure, drama, fantasy",06 Jan 2017,60,1
tt5542294,APB,"{u'Plot': u'After witnessing a violent crime, a tech billionaire purchases a troubled police precinct, rebooting it as a private police force.', u'Rated': u'N/A', u'Title': u'APB', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'7.1/10'}], u'Writer': u'Matt Nix, David Slack', u'Actors': u'Justin Kirk, Natalie Martinez, Taylor Handley, Caitlin Stasey', u'Type': u'series', u'imdbVotes': u'3,971', u'totalSeasons': u'1', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMDRiMmZkY2ItNWU2MC00NGE1LTg3NzYtNTNhMjg4NTYxMDI1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'06 Feb 2017', u'Awards': u'N/A', u'Genre': u'Crime, Drama', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'43 min', u'imdbID': u'tt5542294', u'Metascore': u'N/A', u'imdbRating': u'7.1', u'Year': u'2016\u20132017'}","crime, drama",06 Feb 2017,43,1
tt5329490,Hitting the Breaks,"{u'Plot': u""Ex-racecar driver Randy Wilcox moves his family from Atlanta to a small town in the Rocky Mountains of Colorado when he inherits The Serenity Inn, a struggling bed and breakfast previously owned by his parents. Out of his element and insecure about his future, Randy's life is further complicated by an assortment of local eccentrics in a town that exists in an illogical world governed by rules that continue to baffle him."", u'Rated': u'N/A', u'Title': u'Hitting the Breaks', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'6.6/10'}], u'Writer': u'Tommy Blaze, David A.R. White', u'Actors': u'David A.R. White, Andrea Logan White, Gianna Simone, Kevin Downes', u'Type': u'series', u'imdbVotes': u'5', u'totalSeasons': u'N/A', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYTExYTkxNDItYzFkMi00YTE1LTkyYTAtOTk1NmU2ZmVlMzI4L2ltYWdlXkEyXkFqcGdeQXVyODQ5NTMzNw@@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Comedy', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'28 min', u'imdbID': u'tt5329490', u'Metascore': u'N/A', u'imdbRating': u'6.6', u'Year': u'2016\u2013'}",comedy,N/A,28,n/a
tt4585922,Four Kings,"{u'Plot': u'STORY LINE: ""Four Kings"" is half hour scripted show about four best friends who live in the penthouse of the Cosmopolitan in Las Vegas. Three of them are world class poker players and the ...', u'Rated': u'N/A', u'Title': u'Four Kings', u'Ratings': [], u'Writer': u'N/A', u'Actors': u'Jack Topalian, Alexander Garganera, Johnny Alexander, Jermaine Brantley', u'Type': u'series', u'imdbVotes': u'N/A', u'totalSeasons': u'1', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Drama', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt4585922', u'Metascore': u'N/A', u'imdbRating': u'N/A', u'Year': u'2016\u2013'}",drama,N/A,n/a,1
tt5171776,Warriors,"{u'Plot': u""A show based on Erin Hunter's bestselling book series, Warriors, this TV show follows the lives of groups of wild cats living together called clans. This series is about the lives of these cats and things that happen to them."", u'Rated': u'N/A', u'Title': u'Warriors', u'Ratings': [], u'Writer': u'Erin Hunter', u'Actors': u'Micah Kim, Kaylie Kubota, Julia Lee, Misha Lee', u'Type': u'series', u'imdbVotes': u'N/A', u'totalSeasons': u'1', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Adventure, Drama, Fantasy', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt5171776', u'Metascore': u'N/A', u'imdbRating': u'N/A', u'Year': u'2016\u2013'}","adventure, drama, fantasy",N/A,n/a,1
tt5937940,The Z Virus,"{u'Plot': u'An apocalyptic TV series of survival when a deadly virus from a meteor turns the earth into a zombie infested world no one could have ever imagined.', u'Rated': u'N/A', u'Title': u'The Z Virus', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'3.0/10'}], u'Writer': u'N/A', u'Actors': u'Freddie De Grate, Zac Perry, Xavier Jackson, Mora Carew', u'Type': u'series', u'imdbVotes': u'42', u'totalSeasons': u'1', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BOGRiY2Q0YTAtNDg5Ni00M2ZkLWJjOTMtYjY0ODg4YTQ5YTNkXkEyXkFqcGdeQXVyMTQ0MzIxMDg@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'01 Jan 2017', u'Awards': u'N/A', u'Genre': u'Horror', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'10 min', u'imdbID': u'tt5937940', u'Metascore': u'N/A', u'imdbRating': u'3.0', u'Year': u'2016\u2013'}",horror,01 Jan 2017,10,1
tt5509570,Party Girl,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u'Party Girl', u'Ratings': [], u'Writer': u'N/A', u'Actors': u'Adam Busch, Lisa Schwartz, Ava Deluca-Verley, Shaun Brown', u'Type': u'series', u'imdbVotes': u'N/A', u'totalSeasons': u'1', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Comedy', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt5509570', u'Metascore': u'N/A', u'imdbRating': u'N/A', u'Year': u'2016\u2013'}",comedy,N/A,n/a,1
tt5432616,Broken,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u'Untitled Meaghan Oppenheimer Project', u'Ratings': [], u'Writer': u'Meaghan Oppenheimer', u'Actors': u'N/A', u'Type': u'series', u'imdbVotes': u'N/A', u'totalSeasons': u'N/A', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Drama', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt5432616', u'Metascore': u'N/A', u'imdbRating': u'N/A', u'Year': u'2016\u2013'}",drama,N/A,n/a,n/a
tt5095468,Adoptable,"{u'Plot': u'ADOPTABLE! is an awkward and bittersweet comic web series written by and starring Scott Lowell loosely based on his own experiences searching for his birth parents back in the late 90s...', u'Rated': u'N/A', u'Title': u'Adoptable', u'Ratings': [], u'Writer': u'N/A', u'Actors': u'Scott Lowell, Emily Swallow, Linda Park, Eddie Jemison', u'Type': u'series', u'imdbVotes': u'N/A', u'totalSeasons': u'1', u'Poster': u'http://ia.media-imdb.com/images/M/MV5BMjE5NTUyODk4NV5BMl5BanBnXkFtZTgwNDQ0NzQ4NzE@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Comedy', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt5095468', u'Metascore': u'N/A', u'imdbRating': u'N/A', u'Year': u'2016\u2013'}",comedy,N/A,n/a,1
tt5538572,Start Up,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u'Start Up', u'Ratings': [], u'Writer': u'N/A', u'Actors': u'Paul Galazo, Jeremey Penn', u'Type': u'series', u'imdbVotes': u'N/A', u'totalSeasons': u'N/A', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Comedy', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt5538572', u'Metascore': u'N/A', u'imdbRating': u'N/A', u'Year': u'2016\u2013'}",comedy,N/A,n/a,n/a
tt6166364,Single &amp; Anxious,"{u'Plot': u'Five African American college students from various backgrounds fumble their way through the challenges of establishing and maintaining romantic relationships and dealing with real life issues.', u'Rated': u'N/A', u'Title': u'Single & Anxious', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'9.2/10'}], u'Writer': u'N/A', u'Actors': u'Milaya S. Gregory', u'Type': u'series', u'imdbVotes': u'12', u'totalSeasons': u'N/A', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BZmM2ZGQ3M2YtZTc4OC00YmIxLWJmY2ItMmQyZjNhNGU2ZWMyXkEyXkFqcGdeQXVyNzY3MDg4Mzk@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Drama', u'Response': u'True', u'Language': u'English, English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt6166364', u'Metascore': u'N/A', u'imdbRating': u'9.2', u'Year': u'2016\u2013'}",drama,N/A,n/a,n/a
tt4699176,I Declare War,"{u'Plot': u'I Declare War takes you into the heart of the city of Detroit where The Sinclair Family, The Demarco Family & the Khalil Family are each vying for control, power, money and the love of their families. Each family has a strong patriarch but being the leader of an organized crime family comes with a very high price. This is war and casualties will be your wife, your children or even yourself. All rules are being violated and everyone is a target. Old friends are now enemies, families are divided and new family bonds are being formed. Once the gunfire has ceased and the bodies have been found the Judge and the jury will make their call but only God can decide which family will still be around.', u'Rated': u'N/A', u'Title': u'I Declare War', u'Ratings': [], u'Writer': u'N/A', u'Actors': u'Michael Alexander, Anthony McNeil, Earnest Lee, Chazmar Hall', u'Type': u'series', u'imdbVotes': u'N/A', u'totalSeasons': u'1', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Crime, Drama', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt4699176', u'Metascore': u'N/A', u'imdbRating': u'N/A', u'Year': u'2016\u2013'}","crime, drama",N/A,n/a,1
tt5428980,The Other F Word,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u'The Other F Word', u'Ratings': [], u'Writer': u'N/A', u'Actors': u'Reiko Aylesworth', u'Type': u'series', u'imdbVotes': u'N/A', u'totalSeasons': u'N/A', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Comedy, Drama', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt5428980', u'Metascore': u'N/A', u'imdbRating': u'N/A', u'Year': u'2016\u2013'}","comedy, drama",N/A,n/a,n/a
tt5258360,Before I Got Famous,"{u'Plot': u'N/A', u'Rated': u'N/A', u'Title': u'Before I Got Famous', u'Ratings': [], u'Writer': u'N/A', u'Actors': u'Alexandre Chen, Lee Chen, Tiago Ferreira, Anthony Ma', u'Type': u'series', u'imdbVotes': u'N/A', u'totalSeasons': u'1', u'Poster': u'N/A', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Comedy', u'Response': u'True', u'Language': u'English, Chinese', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt5258360', u'Metascore': u'N/A', u'imdbRating': u'N/A', u'Year': u'2015\u2013'}",comedy,N/A,n/a,1
tt4588068,Cirque du Soleil: Luna Petunia,"{u'Plot': u'Luna Petunia is a new animated Netflix original series for preschool kids developed by Saban Brands and Cirque du Soleil M\xe9dia. Inspired by the Cirque du Soleil brand of creativity and entertainment, the series chronicles the adventures of a little girl named Luna Petunia who lives in our world and plays in a dreamland where she learns how to make the impossible possible, teaching young viewers the importance of believing in themselves and all the wondrous things their mind and body can do.', u'Rated': u'N/A', u'Title': u'Cirque du Soleil: Luna Petunia', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'7.0/10'}], u'Writer': u'N/A', u'Actors': u'Jonah Wineberg, Ciara Alexys, Cory Doran, Katie Griffin', u'Type': u'series', u'imdbVotes': u'18', u'totalSeasons': u'1', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMDUzZTU5NTUtN2VlOC00YmUxLWE2NjktYmY4YjVlMWE5ZjMyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjg4ODY5NzY@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'1 win & 1 nomination.', u'Genre': u'Animation', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt4588068', u'Metascore': u'N/A', u'imdbRating': u'7.0', u'Year': u'2016\u2013'}",animation,N/A,n/a,1
tt3982610,Fail Army,"{u'Plot': u'A YouTube series that focuses on short clips of people falling and things going wrong.', u'Rated': u'N/A', u'Title': u'Fail Army', u'Ratings': [{u'Source': u'Internet Movie Database', u'Value': u'5.1/10'}], u'Writer': u'Jonathan Skogmo', u'Actors': u""Michael O'Rourke"", u'Type': u'series', u'imdbVotes': u'33', u'totalSeasons': u'N/A', u'Poster': u'https://images-na.ssl-images-amazon.com/images/M/MV5BOTExNjYwMzI2Ml5BMl5BanBnXkFtZTgwMDQwNjQ5NjE@._V1_SX300.jpg', u'Director': u'N/A', u'Released': u'N/A', u'Awards': u'N/A', u'Genre': u'Comedy, Reality-TV', u'Response': u'True', u'Language': u'English', u'Country': u'USA', u'Runtime': u'N/A', u'imdbID': u'tt3982610', u'Metascore': u'N/A', u'imdbRating': u'5.1', u'Year': u'2014\u2013'}","comedy, reality-tv",N/A,n/a,n/a
